                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4116,                  2.815,                 1.7548,                0.61343,                0.88257,                 0.8879,                 0.6156,                 1.3926,                 1.3292,                 1.2503,                      0,                      0,                      0
                      2,                 1.2487,                 2.6208,                 1.4408,                0.59672,                0.89736,                0.88811,                0.61799,                 1.4046,                 1.3533,                 1.2565,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                 1.1416,                 4.2177,                 1.4952,                0.57906,                0.83333,                0.87397,                0.61303,                 1.4193,                 1.3854,                 1.2631,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                  1.266,                 2.6681,                 1.4492,                0.54577,                0.85518,                0.87205,                0.60506,                 1.4537,                 1.4202,                 1.2788,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                  1.473,                 2.7676,                 1.7401,                0.56942,                0.83333,                0.87398,                0.59716,                 1.4784,                 1.4556,                 1.2946,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                 1.6913,                 4.9069,                  2.002,                0.85443,                0.57046,                0.87376,                0.58045,                 1.4884,                 1.5078,                 1.3083,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                 1.2693,                 2.1484,                 1.5003,                0.84827,                0.56667,                 0.8719,                0.56925,                 1.5016,                 1.5458,                 1.3169,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                 1.5631,                 3.3868,                 1.8199,                 0.8414,                0.56667,                0.88592,                0.54866,                 1.5157,                 1.6164,                 1.3356,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                  1.164,                 2.4763,                 1.4114,                0.82411,                0.56667,                0.81408,                0.54205,                 1.5348,                 1.6904,                 1.3519,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                 1.1298,                 3.1846,                 1.5797,                0.82914,                0.58044,                0.74952,                0.52878,                 1.5501,                 1.7467,                   1.37,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                  1.221,                 2.9199,                  1.421,                0.79955,                0.56667,                0.74312,                0.53435,                  1.548,                 1.7562,                 1.3709,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                 1.0865,                  2.019,                 1.4023,                0.79483,                0.58333,                0.74306,                0.53437,                  1.549,                 1.7709,                 1.3719,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                 1.0316,                 2.5726,                 1.2462,                0.76844,                0.58333,                0.74309,                0.53442,                 1.5402,                 1.7869,                 1.3671,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                 1.4755,                 3.2576,                 1.8498,                0.74452,                0.58333,                0.74305,                0.52568,                 1.5068,                 1.8306,                 1.3467,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                0.88915,                 1.8779,                 1.1519,                0.75759,                0.58333,                0.74308,                0.52576,                 1.5013,                  1.845,                 1.3433,             1.4351e-05,             1.4351e-05,             1.4351e-05
